1_id,2_count,active,add_features,cut,cut_mode,emb_path,experiment_dir,kernelfunc,ninducing,optimization,pearson,runtime,size,spearman,task,task4
results-2021-09-22_06-16-32,806,True,"('frequency', 'ngrams')",0.0,random_instances,../data/GoogleNews-vectors-negative300.vocab_sub_,experiment_humour_2021-09-22_06-16-31_bald_500_200_6000,matern_3_2,500,False,"(0.27539737287650334, 1.708213580895401e-15)",0:02:42,500,"SpearmanrResult(correlation=0.28316726164253336, pvalue=2.506117017504162e-16)",humour,False
results-2021-09-22_06-16-32,806,True,"('frequency', 'ngrams')",0.0,random_instances,../data/GoogleNews-vectors-negative300.vocab_sub_,experiment_humour_2021-09-22_06-16-31_bald_500_200_6000,matern_3_2,500,False,"(0.3837588187782819, 1.1171784093020869e-29)",0:04:26,700,"SpearmanrResult(correlation=0.38363253323749474, pvalue=1.1697776045129067e-29)",humour,False
results-2021-09-22_06-16-32,806,True,"('frequency', 'ngrams')",0.0,random_instances,../data/GoogleNews-vectors-negative300.vocab_sub_,experiment_humour_2021-09-22_06-16-31_bald_500_200_6000,matern_3_2,500,False,"(0.31010908802058645, 1.9955692381928822e-19)",0:06:05,900,"SpearmanrResult(correlation=0.3149907830193052, pvalue=5.046675807157805e-20)",humour,False
results-2021-09-22_06-16-32,806,True,"('frequency', 'ngrams')",0.0,random_instances,../data/GoogleNews-vectors-negative300.vocab_sub_,experiment_humour_2021-09-22_06-16-31_bald_500_200_6000,matern_3_2,500,False,"(0.31633818624019755, 3.4375293181686267e-20)",0:07:26,1100,"SpearmanrResult(correlation=0.3189388607371655, pvalue=1.629154465677462e-20)",humour,False
results-2021-09-22_06-16-32,806,True,"('frequency', 'ngrams')",0.0,random_instances,../data/GoogleNews-vectors-negative300.vocab_sub_,experiment_humour_2021-09-22_06-16-31_bald_500_200_6000,matern_3_2,500,False,"(0.35177904180435504, 6.853939508331328e-25)",0:09:17,1300,"SpearmanrResult(correlation=0.3525538658084631, pvalue=5.323973558855003e-25)",humour,False
results-2021-09-22_06-16-32,806,True,"('frequency', 'ngrams')",0.0,random_instances,../data/GoogleNews-vectors-negative300.vocab_sub_,experiment_humour_2021-09-22_06-16-31_bald_500_200_6000,matern_3_2,500,False,"(0.3070221823316289, 4.697821278763049e-19)",0:11:01,1500,"SpearmanrResult(correlation=0.30735226287084255, pvalue=4.288915223615057e-19)",humour,False
results-2021-09-22_06-16-32,806,True,"('frequency', 'ngrams')",0.0,random_instances,../data/GoogleNews-vectors-negative300.vocab_sub_,experiment_humour_2021-09-22_06-16-31_bald_500_200_6000,matern_3_2,500,False,"(0.37429533815336546, 3.322005845129946e-28)",0:12:38,1700,"SpearmanrResult(correlation=0.35428202643234047, pvalue=3.023092070911052e-25)",humour,False
results-2021-09-22_06-16-32,806,True,"('frequency', 'ngrams')",0.0,random_instances,../data/GoogleNews-vectors-negative300.vocab_sub_,experiment_humour_2021-09-22_06-16-31_bald_500_200_6000,matern_3_2,500,False,"(0.3474423897317732, 2.781878666979199e-24)",0:14:40,1900,"SpearmanrResult(correlation=0.34376896431531523, pvalue=8.959632460242284e-24)",humour,False
results-2021-09-22_06-16-32,806,True,"('frequency', 'ngrams')",0.0,random_instances,../data/GoogleNews-vectors-negative300.vocab_sub_,experiment_humour_2021-09-22_06-16-31_bald_500_200_6000,matern_3_2,500,False,"(0.34680291087720183, 3.413892548834431e-24)",0:16:12,2100,"SpearmanrResult(correlation=0.3442034939640639, pvalue=7.808300075143766e-24)",humour,False
results-2021-09-22_06-16-32,806,True,"('frequency', 'ngrams')",0.0,random_instances,../data/GoogleNews-vectors-negative300.vocab_sub_,experiment_humour_2021-09-22_06-16-31_bald_500_200_6000,matern_3_2,500,False,"(0.4144378339966871, 8.476566106515613e-35)",0:17:58,2300,"SpearmanrResult(correlation=0.3965227085909483, pvalue=9.617425204150995e-32)",humour,False
results-2021-09-22_06-16-32,806,True,"('frequency', 'ngrams')",0.0,random_instances,../data/GoogleNews-vectors-negative300.vocab_sub_,experiment_humour_2021-09-22_06-16-31_bald_500_200_6000,matern_3_2,500,False,"(0.3892358200178208, 1.489733780145378e-30)",0:19:58,2500,"SpearmanrResult(correlation=0.3750926390866437, pvalue=2.506927219178229e-28)",humour,False
